2026-06-16 10:52:42|admin|添加定密责任人|1|成功|职务:1,权限:1
2026-06-16 10:52:45|admin|删除定密责任人|6|成功|
2026-06-16 10:52:53|admin|添加人员|wtr|成功|密级:1
2026-06-16 10:53:24|admin|添加文件|1|成功|待定密，内容长度:1
2026-06-16 10:55:55|admin|文件定密|1|成功|密级:2, 保密期限:解密时间：2026-06-02
2026-06-16 10:56:02|admin|密级变更|1|成功|机密 -> 秘密
2026-06-16 10:56:14|admin|标注密点|1|成功|密点:1
2026-06-16 10:56:37|admin|添加人员|wdh|成功|密级:1
2026-06-16 19:45:42|admin|删除定密责任人|1|成功|
2026-06-16 19:45:45|admin|删除定密责任人|2|成功|
2026-06-16 19:45:47|admin|删除定密责任人|3|成功|
2026-06-16 19:45:49|admin|删除定密责任人|4|成功|
2026-06-16 19:45:51|admin|删除定密责任人|5|成功|
2026-06-16 19:46:19|admin|添加定密责任人|赵|成功|职务:局长,权限:3
2026-06-16 19:46:37|admin|添加定密责任人|钱|成功|职务:处长,权限:2
2026-06-16 19:57:30|admin|标注密点|国家秘密|成功|密点:导弹
2026-06-16 20:01:15|admin|添加人员|钱|成功|密级:1
